退款多久到	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5556.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
是否可以货到付款	<p>如需查看具体图示，请<a href="http://help.gome.com.cn/question/5036.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
怎么找人工客服	请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72047830291%26loginname%3D13717588721%26grade%3D5%26name%3D%E7%BE%8E%E7%BE%8E_451487663686818%26memo%3D%26hashCode%3Dbf78a171e793aa67a4623278ad45ccbe%26timestamp%3D1489980641692&page=0&enterurl=http://help.gome.com.cn/&areaCode=11010800%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E9%2580%259A%25E5%25B7%259E%25E5%258C%25BA%257C11010000%257C11000000%257C110102001&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服哦~ 
如何领取优惠券	<p>如需查看具体途径，请<a href="http://help.gome.com.cn/question/5442.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
什么时候收到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
我的快递什么时候到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
有货吗	建议您可以在商品页面价格下方的“送至”位置，选择您要送达的收货地址，会有显示是否有货哦~ 
有货吗 这个	建议您可以在商品页面价格下方的“送至”位置，选择您要送达的收货地址，会有显示是否有货哦~ 
有货了吗	如果页面显示您当地无货，建议在网城页面提交“到货通知”，商品到货后会通过短信及邮件通知您，另现在网站活动较多，可选商品也比较多，您也可以进行对比选择其他款的宝贝哦~~ 
有货后还会加价吗	亲，因网站促销活动持续不断，商品价格也会有所变化，具体的以页面显示为准哦~
有货吗现在	建议您可以在商品页面价格下方的“送至”位置，选择您要送达的收货地址，会有显示是否有货哦~
