cat10000070	手机
cat10000076	对讲机
cat33555545	合约机
cat15787911	3G上网卡
cat33555546	选号卡
cat33555547	挑靓号
cat15787588	移动电源
cat10000079	手机电池
cat10000080	充电器
cat10000078	蓝牙耳机
cat10000077	有线耳机
cat10000082	存储卡/读卡器
cat10000089	保护套
cat10000088	贴膜
cat10005424	iPhone配件
cat10000086	其他配件
cat15787589	车载配件
cat21455955	穿戴设备
cat15046069	白酒
cat16035542	啤酒
cat15046070	葡萄酒
cat15046071	洋酒
cat15045971	保健酒
cat15046072	黄酒
cat15045980	其他酒类
cat16035550	饼干糕点
cat16035545	坚果炒货
cat16035546	蜜饯果脯
cat16035554	肉干珍味
cat16035551	糖果巧克力
cat16035555	其他零食
cat16035561	进口饼干糕点
cat16035559	进口冲调饮品
cat16035562	进口干果/果干
cat16035563	进口粮油米面
cat16035560	进口糖果巧克力
cat16035565	进口休闲零食
cat10645546	进口牛奶/乳制品
cat21655725	进口水/饮料
cat21655721	进口调味
cat16035574	白茶
cat16035576	保健功能茶
cat16035573	草本花果茶
cat16035575	黑茶/普洱茶
cat16035571	红茶
cat16035572	花茶
cat16035568	黄茶
cat16035570	绿茶
cat16035581	青茶/乌龙茶
cat16035582	养生茶
cat16035579	有机茶
cat16035591	方便食品
cat16035586	米
cat16035588	南北干货
cat16035587	食用油
cat16035589	厨房调味
cat16035592	有机食品
cat21655560	杂粮
cat21655589	面
cat16035604	东北
cat16035602	华北
cat16035603	华东
cat16035610	华南
cat16035608	华中
cat16035598	西北
cat16035600	西南
cat16035590	半成品
cat16035595	冻品
cat16035631	海鲜水产
cat16035627	加工肉食
cat16035629	禽蛋
cat16035628	水果蔬菜
cat16035634	鲜肉
cat16035583	冲调食品
cat16035580	蜂蜜
cat16035567	咖啡
cat16035584	奶茶
cat16035578	牛奶
cat16035577	饮料/蔬果汁/水
cat16035633	参茸礼品
cat16035635	大闸蟹
cat16035593	更多礼品
cat16035594	月饼
cat16035596	粽子
cat33565608	美通卡
cat32897467	驾校定金
cat32897468	驾校全款
cat32897464	清洗美容
cat32897465	配件安装
cat32897466	改装维修
cat32897458	金融购车
cat32897459	租车
cat32897460	代驾
cat32897461	车险投保
cat32897452	新车定金
cat32897453	新车全款
cat32897454	二手车定金
cat32897455	二手车全款
cat32897456	整车团购
