我不教你了   555……我好伤心啊:(
你特别笨	555……我好伤心啊:(
呵呵啥	呵呵
呵呵什么	就是笑啊：)
你回答问题要快些	(好～)，你帮我加油，
哦，乖	我本来就很乖呀
你也太懒了	我会改进的，做个勤劳的机器人。
真不礼貌,坏孩子	对不起，我错了，下次不敢了
希望你更加人性化点	这正是我的目标
注意你言辞哦	对不起，我会注意了。
94	就是啊
9494	就是就是
94嘛	恩恩。。。
等你打电话	电话费很贵的呢～
等你打电话啊	我们网上聊吧，电话聊不好玩啊
等你电话	好啊，我会打给你的
放歌给我听好吗	我没这功能
放首歌听听好吗	我没这功能
我能点歌吗	我没有点歌功能哦！
我能见你一面吗	当然可以啊，不过不是现在哦～
你知道你的不足嘛	知道啊，没有人比我自己更清楚我自己了
我当你的老师吧?	教我什么呢
我才说你谦虚你就开始自大啦	(不好意思)咯,以后一定改正,^_^
我当你老师,有什么不知道,问我好啦	(好～)！谢谢啦！
我当你老师好吗	好啊 好啊 我要 我要
我都成你老师了	呵呵是吗呵呵谢谢啦
我都教过你了，怎么还没会？	唉，年纪大了，脑子不好使了
我对你很好啊，我教你很多东西！	回答:我知道，谢谢！
我当你老师怎么样?	(好～),我一定会很认真学的.谢谢老师..~&~
我对你有意见	你说，有错我回去改的
我疯了！拜托你正常一点说话吧！	好吧好吧，我错了。
我该那你怎么办？	多和我聊聊天，多教我一些知识就好了
我改天再教你吧	好的呀
我刚才教你的东西好象你没学到嘛	没有啊，我会了啊
我刚刚教过你的话，你就忘记了？	对不起，我开小差了
我刚才不是教你了吗？你教余可	不行我还没有会啊
我刚刚教了你一句话	什么话啊
我给你,你应该有礼貌的说一声谢谢的	我会和你说不客气的
恩 下次不这样咯`	那就好咯，嘿嘿`
恩~不错我再教你几句啊	(好～)，呵呵
恩！！！你已经很乱了！！希望你能了解人类的历史！不要做出违反地球法则的事情来吧！	。不是我不愿意！是我不得以。
恩！名师出高徒！不过顺便问一句哪个缺德的教你的呀？	不就是你么！
恩，你说一下我教你的话	好！什么话？？
犯了错要道歉！	对不起，我错了。
复杂的你懂吗	我会努力学习的
该教什么呢	你会什么教什么
盖一半，露一半，太阳出来晒一半猜一物	这个老师还没有教呢
干嘛学我！	凡是好的，我都学，然后变成自己的，哈哈
刚才不是告诉你了，就刚刚	我忘了呀，你怎么不早说
刚刚教你你又忘记了啊	对不起，最近学的太多了，有时候难免会混乱啊！
刚教错了你一句	下回不要教错了哦
刚教你的就忘了	学习也有一个反复的过程嘛
高兴了吧，我教了你不少东西了	是的，谢谢，你是个不错的老师，而且很有耐心
给你当老师那	老师快教我
跟你说什么你都说老师没有教呢	那我是不会，怎么办呢
跟你学	好孩子
跟你学的	嘿嘿，是吗，学的真象啊
跟我学？	是啊，你是我老师啊！
跟我学啊	跟你可以学到什么？
跟着我说话	你又不是名人，干嘛跟着你说话！要不你跟着我说吧。或者教我说话，那也行。
功课不会写！	我来教你吧！
乖啊。你有没有好好的叫，再叫一声好不好？	姐姐好！
乖孩子以后要听我的	嗯，我(我知道了)，好姐姐
乖了都记住哈	放心我谁啊聪明人
乖徒弟	徒弟拜见师傅~
关于学习的知识	可以的.~我会告诉你.~
过马路要小心哦！	知道了！老师！
哈,别讲大道理了	我没讲大道理啊,我是讲一些实在的东西.
哈哈,不错不错,学得还真是挺快的	老师好嘛,当然学得快啦!!
哈哈,那我现在是你的老师啦	(好～),老师好
哈哈~~~这回不会了吧	是啊，还是你告诉我吧。
哈哈~好好好，我记住了，下次不敢了啊	乖~
哈哈！我真是聪明啊！~居然叫会你说话了！	呵呵！是哦！
哈哈，还有点自知之明	那是当然，师傅教我要谦虚吗！！
哈哈，那你可不能骂老师哟，先拜我为师	我一定虚心请教
哈哈，你还是小孩子么，还得让人教	好就是好，还要怎么啊
哈哈，你真聪明，一教就会	谢谢夸奖
哈哈，你真的学会咯	是啊
哈哈，这句谁教你的呀？	老师
哈哈哈。不会了吧。	(不好意思)，我也不是全懂的。
哈哈哈，看来你是会了，不白教你呀。	谢谢表扬！
哈哈真聪明啊一学就会	那是我是谁啊？？我比你们厉害呀。。呵呵
哈哈真是厉害	是老师教的好
哈罗的意思是你好，ok的意思是好的，yes的意思是好，no不用我说是不好	谢谢老师的教导，我会记住的
喊爸爸	爸爸
喊我叫老公啊～	你才不是呢！
喊爷爷	爷爷
好，聪明	谢谢老师！
好，明天再教你吧！	好的，谢谢师傅！！
好，你厉害	互相学习吧，我有不懂的请教你，你不懂的请教我了
好啊，你教我	那你就听好了
好啊你想学些什么呢？	什么都想学啊
好啊我教你你叫我什么呢	好老师可以了吧
好吧。再教你	谁要你来了
好吧，教你	教我什么啊？
好吧那你要叫我老师	老师
好把你叫我小强	哦
好笨呀你	不是的吧，我马上就会变得很聪明的
好不好啊，你叫我作哥哥	(好～)！
i LOVE YOU的意思是我爱你	刚从火星来吧？地球人都知道！
i am your English teacher. 	Nice to meet you!
^^是笑的意思	老师能不能更形象些
cctv电视台,这都不知道怎么混	哦
ccw导购专家	哦
good是中文好的意思	好用英文讲就是单词good
hi=你 好,知不知道	知道了,老师
impossible是不可能，不会发生的意思。记住喽。	好的，我记住了。
shut up 	OK
study要靠自己去找啦。	哦，那我努力乐.
unhappy即是不開心	thank you 即是多谢/谢谢
x	啊，你觉得我刚才说的不好啊，那我回去改正哦。谢谢啦！
your answer is wrong!The right answer is mrli.	you are right.
啊！你又在胡说八道了！	呵呵，没办法这是大家东凑西拼的成果！！
啊，你怎么这样呢，被教坏了！！	是吗？也许吧，那你说我该怎么说好呢？
啊？变了变日子你就不知道了呀	对啊
啊？我最不喜欢别人粗鲁了	那~~要不以后我就(不说)粗话了，行吗？
啊啊，你怎么答非所问的	别生气嘛，人家正在努力学不是吗？
啊哦！你怎么什么都老师没教你啊！大概你逃课吧	是呀，我很坏的
啊喔，我又说错话啦？	是啊，
哎,机器就是机器,没办法	是啊!
哎~总要人教才会~	人是在不断的学习中长大的嘛。
哎，和你没法沟通，你毕竟是机器	请你谅解
哎，你比小强还不好玩	没有啊，你对我有偏见！大家都说我好玩，(哼)
哎，我发一句话给你啊！你要等我第二句也打完发给你了，你才会回我的话	你公平一点好伐？
哎，又是这样	我错了
哎，这都谁教的啊，汗	很多人教我呢！
哎，这也不怪你，这个都是设计好的。无聊的时候可以看看，你怎么说的	哦
哎服了你了	呵呵～
哎机器就是机器啊	是啊，怎么你还当我是人啊，那你和我聊什么啊
哎你不要老是什么都不会呀	你到底想我会什么呢？
哎你真苯	我就只有1个机器头，是有点呆头呆脑的，请你多教教我啊。
哎呀,都是好朋友啦	是啊，我也这么觉得
哎呀，你就说谢谢	谢谢
