货到付款	亲好，如果您想货到付款购买商品，联系在线<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3Dff4c73425522d7f34fa1fb578cc16d20%26timestamp%3D1483423376172&page=0&enterurl=http://help.gome.com.cn/question/9.html?intcmp=sy-public01023&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&back=1&fromChaterInfoBox=1&skillId=162&subject=%E5%9C%A8%E7%BA%BF%E5%92%A8%E8%AF%A2"><strong><span>人工客服</span></strong></a>####帮您提交订单哦
呜呜呜呜	 。。。。。。
请注销我的帐号	  亲，非常抱歉，目前账号无法注销的哦~
上海有没有自提点	  Dear ，目前上海暂不支持自提哦，不过亲敬请放心，上海地区我们也会尽快设置自提点的(*^__^*) ……
下错单怎么办	<p>hi亲~如果您购买错商品可以联系客服MM取消订单的哦(*^__^*) </p>
门店价格和网站哪个优惠	  亲，由于国美门店和国美在线分开运营，门店的价格我们无法查询到，一般情况下网站价格比门店价格会优惠，但大型促销活动时门店的让利机型、特价机型可能会比网站优惠。
咨询国美在线订购的商品为何是大中电器送货	 亲，大中电器与国美在线同属于国美集团旗下品牌，部分商品库存和配送都是共享的，同时也是为了提高配送时效，系统会根据您的收货地址就近匹配相应库房，所以您订购的商品可能是从距离您最近的大中电器库房发货，请您放心<strong>！</strong>
区域价格	亲，因家电类商品属于地方采购，因厂家供货价及批次不同，故会出现区域不一样价格也不同的情况，但请您放心，国美在线一直秉承行业低价的原则，且保证正品哦
性能参数咨询	亲，一般涉及参数信息均会在页面上提示，您咨询的问题较为专业，因非厂家专业人员，鉴于快速解决您的问题让您购买到称心的宝贝 ，您可以联系<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3D9b97e6440639e4ee43568cee73b90d85%26timestamp%3D1473145517955&page=0&enterurl=http://www.gome.com.cn/?intcmp=search-public03001&areaCode=11010200%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%259C%259D%25E9%2598%25B3%25E5%258C%25BA(%25E4%25BA%2594%25E7%258E%25AF%25E9%2587%258C)%257C11010000%257C11000000&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D"><span style="color: rgb(255,0,0);"><strong>在线人工</strong></span></a>####服务查询厂家电话
提现操作步骤	您个人账户内的余额可随时操作提现服务，即将余额转至自己的银行卡内，当前支持的银行分别有：工商银行、农业银行、建设银行、招商银行、中国银行、光大银行、全国邮储银行、广东发展银行、兴业银行，交通银行。操作步骤： 点击<a href="http://myhome.gome.com.cn/member/gomeVirtualAcount"><span style="color: rgb(255,0,0);">http://myhome.gome.com.cn/member/gomeVirtualAcount</span></a>####填写提现信息并提交（注：提现银行卡的账户信息必须与您的付款银行账号中填写的信息一致）
提现支持的银行	  当前支持的银行分别有：工商银行、农业银行、建设银行、招商银行、中国银行、光大银行、交通银行、全国邮储银行、广东发展银行、兴业银行的借记卡
签收流程	您好，以下链接为国美在线商品签收流程，请您点击相关链接查询签收详情（运费收取标准和大件商品与小件商品的定义）<a href="http://www.gome.com.cn/ec/homeus/browse/helpcenter/gomeHelpClassification.jsp?newId=1.0002969E7&typeId=1.0000003E7">http://www.gome.com.cn/ec/homeus/browse/helpcenter/gomeHelpClassification.jsp?newId=1.0002969E7&typeId=1.0000003E7</a>####    手机能不能通电试机：亲，请放心，为您配送的商品都是完好的，因手机属于贵重物品，不能通电试机，如收货后发现有问题均按照国家三包政策执行的，亲放心签收就可以了
红券过期	是的呢。
好吧，白白浪费了	  亲，红券会有的，请您关注近期的活动，说不定会有惊喜哦
我靠！你是MM，还是GG？	  害羞，时候不早了，洗洗睡吧……
我去，你咋知道我需要这个	地球人都需要……
哈哈	  看来您今天心情不错嘛
订单没按时到	亲，咱们快递师傅正在快马加鞭为您配送商品中~希望您能多多理解，耐心等候下心爱的商品到家哦~！
密码设置的技巧有哪些？	 一、密码由6-20位字符组成（字母区分大小写）。二、请使用数字、字母或符号的组合。三、如果设置如下安全性较低的密码，系统会提醒您修改密码以保证安全性：1、全部由数字组成；2、全部由字母组成；3、全部由同一字符组成；4、与用户名或邮箱相同。四、定期修改密码，并做好记录工作，以免忘记。五、不要将支付密码和登录密码设置为同一密码
